analysis_start,analysis_end,trend_pred,confidence,forward_start,forward_end,real_trend,actionable,hit,skip_reason
2019-08-01,2019-08-31,SIDE,30.0,2019-09-01,2019-09-30,DOWN,0,,SIDE; CONF<50.0
2019-09-01,2019-09-30,SIDE,30.0,2019-10-01,2019-10-31,UP,0,,SIDE; CONF<50.0
